Label	Tweet	HS	Abusive	HS_Individual	HS_Group	HS_Religion	HS_Race	HS_Physical	HS_Gender	HS_Other	HS_Weak	HS_Moderate	HS_Strong	result_HS
0	Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g	0	0	0	0	0	0	0	0	0	0	0	0	0
0	PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX PILKADA 2018 DAMAI	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Siapapun gubernur dan presidennya, rakyatnya, ya kita juga...	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Ini si kerjaannya delay mulu! Setan!'	1	1	0	1	0	0	0	0	1	0	1	0	1
0	menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget	0	0	0	0	0	0	0	0	0	0	0	0	0
1	PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.	1	0	0	1	0	1	0	0	0	0	1	0	1
1	Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus'	1	1	1	0	0	0	0	0	1	1	0	0	1
1	Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek Sementara JIL anti Arab, tapi pro Aseng! Kata (alm) KH. Hasyim Muzadi,	1	0	0	1	1	0	0	0	0	0	1	0	1
0	Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira 	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Gak kak emak mah gak demen ama yang sipit wkwk'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Kelakuan homok jaman now, ngentot aja sambil live di Blued	0	1	0	0	0	0	0	0	0	0	0	0	1
0	Ga kak, gua bukan orang jawa maaf yak gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari'	1	1	0	1	0	0	0	0	1	0	1	0	1
1	Para Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!! HBD17thPelautJKT48	0	1	0	0	0	0	0	0	0	0	0	0	1
0	ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Edan emang goollnya fabiano!!'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw'	1	1	1	0	1	0	1	0	0	1	0	0	1
0	Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia Massya Allah...	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. DebatFinalPilkadaJKT	1	1	0	1	0	0	0	0	1	0	1	0	1
0	GubernurZamanNow GusIpulPuti2 GanjarYasin1 DjarotSihar2 HasanAnton2 KosterAce1 NurdinSudirman3 KarolinGidot2"Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita, tutur Djarot di hadapan peserta Rakercabsu	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat	0	0	0	0	0	0	0	0	0	0	0	0	0
0	positif kok. se-positif respon masyarakat terhadap - CANGKUL impor - GARAM impor - BERAS impor - JAGUNG impor - TENAGA KERJA impor - ESEMKA impor 	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu. Istilah sembahyang pun lahir dari tradisi ritus menyembahHyang (Yang Tunggal), sama dengan shalat menyembah All	0	0	0	0	0	0	0	0	0	0	0	0	0
1	KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA	1	1	1	0	0	0	0	0	1	1	0	0	1
1	BTP the best ,,,abaikan kaum kampret otak micin ,,,'	1	1	0	1	0	0	0	0	1	0	1	0	1
1	si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'	1	1	1	0	0	0	0	0	1	1	0	0	1
1	 Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. "politik kotor skl jmn ini!". Klu tahu brt ini.. Plng Sambil ky nhn ngeden.."dungu!". 	1	1	1	0	0	0	1	0	0	1	0	0	1
1	pinokio umur 3 taonan tuh. 2019GantiPresiden	1	0	1	0	0	0	0	0	1	1	0	0	1
0	Cerita silat lae semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	benci sekali dgn Umat Islam	1	0	0	1	1	0	0	0	0	0	1	0	1
1	"Provokasi mayat, politisasi agama" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita	1	1	1	0	0	1	0	0	0	1	0	0	1
1	dari pada gua nete'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Lol bani lowo'	1	1	0	1	0	0	0	0	1	0	1	0	1
0	Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi	0	0	0	0	0	0	0	0	0	0	0	0	0
0	A orang yang suka ke konser-konser, sedikit boros.	0	0	0	0	0	0	0	0	0	0	0	0	0
0	[ SAMPAI KAPAN MAKAN RACUN ? ]Banyak ulama yang mengatakan hukum rokok mubah dan ada juga?¦	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS KhofifahEmilNomer1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'	1	1	1	0	0	0	0	1	0	1	0	0	1
0	Saya suka video Awal Kisah Perseteruan Haji Bolot Malih Tongtong'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...	0	0	0	0	0	0	0	0	0	0	0	0	0
0	la la la...hm hmm "Semua diam ,semua bisu""Kita coba tanya sama rumput yg bergoyang"	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-Araf: 200 dan Fushilat: 36).'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Klw ente atheis..ngapain sibuk dgn agama orang...	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Lengserkan Jokowi Bangsat!!	1	1	1	0	0	0	0	0	1	0	0	1	1
0	Selamat hari kartini 2019GANTIPRESIDEN 2019PRESIDENBARU	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Bajingan Homo!!! Hati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! 	1	1	1	0	0	0	0	1	0	1	0	0	1
1	Iya cocot'	1	1	1	0	0	0	0	0	1	1	0	0	1
0	karena budaya indonesia.	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam"	0	0	0	0	0	0	0	0	0	0	0	0	0
1	 Lo ngomong aja kaga bener bangke'	1	1	1	0	0	0	0	0	1	1	0	0	1
0	Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja	0	0	0	0	0	0	0	0	0	0	0	0	0
1	tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...	1	0	0	1	0	1	0	0	0	0	1	0	1
1	Kalo seumpama orang cina di usir paksa dari indonesia gimana	1	0	0	1	0	1	0	0	0	0	1	0	1
1	bunda ngentot yuk'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	china babi... china maling... UsirChina	1	1	0	1	0	1	0	0	0	0	0	1	1
0	Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. Kalau kami keliru kami tutup akun'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	PROYEK KORUPSI REZIM SBY 	1	0	1	0	0	0	0	0	1	1	0	0	1
0	Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Terus menurut lo kitab suci agAma apa yg di bilang om Mendadakkalap	1	0	1	0	0	0	0	0	1	1	0	0	1
0	Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Sy sbg muslim tdk merasa pak menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm	0	0	0	0	0	0	0	0	0	0	0	0	0
1	eh kasar kau kampang'	1	1	1	0	0	0	0	0	1	1	0	0	1
0	BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK"	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Ada cebong bang dia merasa paling benar'	1	1	1	0	0	0	0	0	1	1	0	0	1
1	Najis banget gw ngetwit apa barusan wey'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Kamu transgender atau gmn anjing :( 	1	1	1	0	0	0	0	1	0	1	0	0	1
1	awas bintitan lu ngintipin titit kucing'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'	1	1	1	0	1	0	0	0	0	1	0	0	1
1	Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..	1	0	1	0	0	0	0	0	1	0	0	1	1
1	masa baru kena hestek aja udah kepanasan ??? Kepo banget 2019GantiPresiden	1	0	1	0	0	0	0	0	1	1	0	0	1
1	Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo 	0	1	0	0	0	0	0	0	0	0	0	0	1
0	HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik. Terjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.Nah skrg anda sy k	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu	1	0	1	0	0	0	0	0	1	1	0	0	1
0	dan yang takut dengan adzan adalah IBLIS'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.'	1	1	0	1	0	0	0	0	1	0	1	0	1
1	Wuih... cebong sewot...	1	1	1	0	0	0	0	0	1	1	0	0	1
0	2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka	1	0	1	0	0	0	0	0	1	1	0	0	1
0	rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Nah loh katanya anti aseng'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Selamat Pak Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.	0	0	0	0	0	0	0	0	0	0	0	0	0
0	AsyikM3nang saya sih ikut ulama saja	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu.  Dan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Anak pecun... ga jauh2 dr hobi zina.. haha'	1	1	1	0	0	0	0	1	0	1	0	0	1
0	QUE BOM SBBSNSN'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.	0	0	0	0	0	0	0	0	0	0	0	0	0
1	 Ian pantat'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Pendaftaran Capres untuk Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? 2019GantiPresiden !!	1	0	0	1	0	0	0	0	1	0	1	0	1
1	Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong 	1	1	1	0	0	1	0	0	0	1	0	0	1
1	dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Cina perusak bangsa!! Usir !! Stuju??	1	0	0	1	0	1	0	0	0	0	0	1	1
1	2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.	1	1	1	0	0	0	0	0	1	1	0	0	1
0	Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heru?¦	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Mau tanya serius ini sm presiden jokowi======= knp yg ada cm islam nusantara,knp tdk ada kristen nusantara,budha,hindu bahkan kong huchu nusantara???'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	KORSA: Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam	0	0	0	0	0	0	0	0	0	0	0	0	0
1	cowo yang jago drasex mana? sini ngentot sama adek - luvian'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	kroasia itu kapir tauuu,ngapain blajar sm kapir...udh lupa sm kapling sorga??'	1	1	0	1	1	0	0	0	0	0	1	0	1
1	loh bukan nya mentri suharto ada yg homo?'	1	1	1	0	0	0	0	1	0	1	0	0	1
0	Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk :)'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Kejar setorang memang cukup bangsad, mana rupiah turun'	1	1	1	0	0	0	0	0	1	1	0	0	1
1	Moga ini ada tindak lanjutnya!; ; Pelaporan terhadap ?penista agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Bareskrim Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB.; Perhaps ;	1	0	1	0	1	0	0	0	0	1	0	0	1
1	Bangke.. hajar!!!!'	1	1	1	0	0	0	0	0	1	0	0	1	1
1	Onta mati klo kebanyakan Minum'	1	0	0	1	0	0	0	0	1	0	1	0	1
1	Ahok tng mrka trus was-was hdpnya	1	0	1	0	0	0	0	0	1	1	0	0	1
1	Itu baru di Sul Teng.. !!!; Ini ekses akibat tersandera hutang china !!!; 2019GantiPresiden; 2019PresidenBaru ; 2019TetapJokowiGanti	1	0	1	0	0	0	0	0	1	1	0	0	1
0	6. Pride (Yunani; ) keangkuhan/harga diri/kesombongan dikenal juga dengan sebutan hubris/vanity. harga diri yang tinggi dapat merubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri-'	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Aku bertanya tujuan pada hati Logikaku yg menjawab Tapi hati tak tenang Aku bertanya pada logika  Hatiku sedih  Ku cari jawaban dalam wasiat yg Beliau tinggalkan.  Dan aku mulai menjadi terasing dan asing di mata manusia. Tak apa duhai diri, ada	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Tak hanya kurang bertaji nya kpk era ini...tapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era Pak sby....	1	0	0	1	0	0	0	0	1	0	1	0	1
1	Admin tolol di partai tolol Partai Tolol untuk orang Tolol'	1	1	0	1	0	0	0	0	1	0	1	0	1
1	Ayu Ting Ting Goyang Hot Dekat Raffi Ahmad, Nagita Slavina: Kampungan, Norak 	0	1	0	0	0	0	0	0	0	0	0	0	1
0	Video ttg TKA dibuat oleh Malaysia tapi mengutip pernyataan saya di 	0	0	0	0	0	0	0	0	0	0	0	0	0
0	PPP: Jangan Buru-buru Tolak Wacana Pilkada Lewat DPRD	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Random pagi2 ada Bapak2 nyamperin ke meja kerja trus nanya "pake bedak apa sih biar mukanya bersih, istri saya butek soalnya" Ingin ku jawab pake air wudhu tapi ku Kristen.'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	KO GUA KAMPRET'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Memek lonte pengen disodok kontol gede'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Jokowi aja yg mundur. tutup. 	1	0	1	0	0	0	0	0	1	1	0	0	1
1	Ngomong opo itu.mulut kok seperti banci...beli kaca dulu lihat dirimu,. Broo'	1	1	1	0	0	0	0	1	0	1	0	0	1
1	Ada amin rasis. Ada amat dani Ada ratna si paiiit. Ada si onta. Ada si lobang anus. Jdi jngan takut wo wo.. Kehabisan obat penenang yh.'	1	1	1	0	0	0	0	0	1	1	0	0	1
1	Tunggu komando IMAM BEJAT CABUL . TAIK BEER Ape2 bawa ULAMA... DASAR Banj SEMPAK'	1	1	1	0	0	0	0	1	0	1	0	0	1
1	Kabinet berantakan Pemecah belah persatuan hanya ad di rezim ini'	1	0	0	1	0	0	0	0	1	0	1	0	1
1	dih! Ngaku lebih pinter dr orang politik, NGACA DULU WOYY tampang loe aja k orang BEGO!!! ckakakakak'	1	1	1	0	0	0	1	0	0	1	0	0	1
1	PDIPerjuanganMenang Dengan menekan perusahaan tambang dgn target proyek yang impossible, lalu dilelang murah pada antek Cina. NTB contoh kasus. PDIP mau menang? Dasar bajingan'	1	1	0	1	0	0	0	0	1	0	1	0	1
1	ga caya sama mulut buaya mu bwang'	1	1	1	0	0	0	0	0	1	1	0	0	1
0	2019, jika SBY + PRABOWO menyatu melawan MEGA + JOKOWI , maka peristiwa 2004 akan terulang dimana PDIP yg Incumbent dikalahkan mutlak oleh SBY. ; ; Tp jk JKW+MEGA+SBY melawan PRABOWO, mk Pilpres selesai sudah. ; ; Jk 3 Poros di Pilpres, mk salah satu Lawan	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Jangan kayak BANCI KALENG kamu GATOT sering buat Gaduh gentleman lah MUNDUR siap bersaing di pemilihan presidens 2019 melawan Jokowi	1	1	1	0	0	0	0	1	0	1	0	0	1
0	bebal...	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5. Yang terakhir karena Indonesia negara dengan populasi muslim terbesar di dunia, yang mana Islam saat ini merupakan musuh barat Komunis karena dapat menghambat agenda dan kepentingan mereka.(Obviously)'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	umuh persib persib kunyuk!!!!	1	1	0	1	0	0	0	0	1	0	1	0	1
1	Buat film muslim pilih ahok mati nggak di sholatin......; dijamin laris ......	1	0	1	0	0	0	0	0	1	1	0	0	1
0	tapi banu banu Yahudi itu tentu beda dgn banu banu Kristen Syriac. salah satu perbedaan ad banu Yahudi tetep pake "eloah/ elohim/ yahwe/" sedangkan Syriac sudah pake "alah/ allah"'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Eh kenapa muka merah2 tu? Tak dpt cendol ke? Bukan la setan cuaca skrg ni panas.'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Pemberitaan saracen diframing katak seakan tim prabowo dan anies-sandi. Seberulnya itu media menumpahkan sakit hati katak dan cebong. *Ehe	1	1	0	1	0	0	0	0	1	0	1	0	1
0	Giat Bhabinkamtibmas Brigpol Mbs Sihombing pd hari ini, Rabu 11 April 2018 melaks sambang desa dan tatap muka sekaligus monitoring Kamtibmas menuju Pilkada 2018 di Desa Lobusiregar I, tepatnya dirumah Rudi Panjaitan, Helman Siahaan dan Hotman Siahaan	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Syg bgt ya ngeliat perempuan kyk gini... Gak ada status apa2 tp udah nemplok sm laki-laki sana sini. Haduh.... Nagita Slavina Blak-blakan Sebut Ayu Ting Ting Kampungan VIVA 	0	1	0	0	0	0	0	0	0	0	0	0	1
0	Jgn lupa juga kang.... Umat katolik dan minorutas lainnya diperhatika. Gubernur untuk semua golongan bukan satu golongan.'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Kan ane bukan cebong udeh dibilangin dari maren masih ngeyel Situ maksa ane jadi cebong?'	1	1	1	0	0	0	0	0	1	1	0	0	1
1	Kelemahan gerindra itu ada di orang ini,...Prabowo turun elektabilitasnya karena CONGOR fadlizon spt DURNO'	1	1	1	0	0	0	0	0	1	1	0	0	1
